Notes;State;State Code;Month;Month Code;Cause of death;Cause of death Code;Deaths;Population;Crude Rate
aaa;Alabama;1;01/01/2017;01/01/2017;Pneumonia, unspecified;J18.9;107;Not Applicable;Not Applicable
aaa;Alabama;1;01/01/2017;01/01/2017;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;29;Not Applicable;Not Applicable
aaa;Alabama;1;01/01/2017;01/01/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;270;Not Applicable;Not Applicable
Total;Alabama;1;01/01/2017;01/01/2017;;;454;Not Applicable;Not Applicable
aaa;Alabama;1;01/02/2017;01/02/2017;Pneumonia, unspecified;J18.9;94;Not Applicable;Not Applicable
aaa;Alabama;1;01/02/2017;01/02/2017;Emphysema, unspecified;J43.9;11;Not Applicable;Not Applicable
aaa;Alabama;1;01/02/2017;01/02/2017;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;41;Not Applicable;Not Applicable
aaa;Alabama;1;01/02/2017;01/02/2017;Chronic obstructive pulmonary disease with acute exacerbation, unspecified;J44.1;17;Not Applicable;Not Applicable
aaa;Alabama;1;01/02/2017;01/02/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;282;Not Applicable;Not Applicable
Total;Alabama;1;01/02/2017;01/02/2017;;;477;Not Applicable;Not Applicable
aaa;Alabama;1;01/03/2017;01/03/2017;Pneumonia due to Streptococcus pneumoniae;J13;11;Not Applicable;Not Applicable
aaa;Alabama;1;01/03/2017;01/03/2017;Pneumonia, unspecified;J18.9;91;Not Applicable;Not Applicable
aaa;Alabama;1;01/03/2017;01/03/2017;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;30;Not Applicable;Not Applicable
aaa;Alabama;1;01/03/2017;01/03/2017;Chronic obstructive pulmonary disease with acute exacerbation, unspecified;J44.1;17;Not Applicable;Not Applicable
aaa;Alabama;1;01/03/2017;01/03/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;251;Not Applicable;Not Applicable
Total;Alabama;1;01/03/2017;01/03/2017;;;440;Not Applicable;Not Applicable
aaa;Alabama;1;01/04/2017;01/04/2017;Pneumonia, unspecified;J18.9;75;Not Applicable;Not Applicable
aaa;Alabama;1;01/04/2017;01/04/2017;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;30;Not Applicable;Not Applicable
aaa;Alabama;1;01/04/2017;01/04/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;247;Not Applicable;Not Applicable
Total;Alabama;1;01/04/2017;01/04/2017;;;385;Not Applicable;Not Applicable
aaa;Alabama;1;01/05/2017;01/05/2017;Pneumonia, unspecified;J18.9;70;Not Applicable;Not Applicable
aaa;Alabama;1;01/05/2017;01/05/2017;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;19;Not Applicable;Not Applicable
aaa;Alabama;1;01/05/2017;01/05/2017;Chronic obstructive pulmonary disease with acute exacerbation, unspecified;J44.1;12;Not Applicable;Not Applicable
aaa;Alabama;1;01/05/2017;01/05/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;213;Not Applicable;Not Applicable
Total;Alabama;1;01/05/2017;01/05/2017;;;345;Not Applicable;Not Applicable
aaa;Alabama;1;01/06/2017;01/06/2017;Pneumonia, unspecified;J18.9;63;Not Applicable;Not Applicable
aaa;Alabama;1;01/06/2017;01/06/2017;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;20;Not Applicable;Not Applicable
aaa;Alabama;1;01/06/2017;01/06/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;200;Not Applicable;Not Applicable
Total;Alabama;1;01/06/2017;01/06/2017;;;315;Not Applicable;Not Applicable
aaa;Alabama;1;01/07/2017;01/07/2017;Pneumonia, unspecified;J18.9;81;Not Applicable;Not Applicable
aaa;Alabama;1;01/07/2017;01/07/2017;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;18;Not Applicable;Not Applicable
aaa;Alabama;1;01/07/2017;01/07/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;200;Not Applicable;Not Applicable
Total;Alabama;1;01/07/2017;01/07/2017;;;332;Not Applicable;Not Applicable
aaa;Alabama;1;01/08/2017;01/08/2017;Pneumonia, unspecified;J18.9;68;Not Applicable;Not Applicable
aaa;Alabama;1;01/08/2017;01/08/2017;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;15;Not Applicable;Not Applicable
aaa;Alabama;1;01/08/2017;01/08/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;235;Not Applicable;Not Applicable
Total;Alabama;1;01/08/2017;01/08/2017;;;356;Not Applicable;Not Applicable
aaa;Alabama;1;01/09/2017;01/09/2017;Pneumonia, unspecified;J18.9;76;Not Applicable;Not Applicable
aaa;Alabama;1;01/09/2017;01/09/2017;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;24;Not Applicable;Not Applicable
aaa;Alabama;1;01/09/2017;01/09/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;203;Not Applicable;Not Applicable
Total;Alabama;1;01/09/2017;01/09/2017;;;335;Not Applicable;Not Applicable
aaa;Alabama;1;01/10/2017;01/10/2017;Pneumonia, unspecified;J18.9;83;Not Applicable;Not Applicable
aaa;Alabama;1;01/10/2017;01/10/2017;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;31;Not Applicable;Not Applicable
aaa;Alabama;1;01/10/2017;01/10/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;208;Not Applicable;Not Applicable
Total;Alabama;1;01/10/2017;01/10/2017;;;354;Not Applicable;Not Applicable
aaa;Alabama;1;01/11/2017;01/11/2017;Pneumonia, unspecified;J18.9;68;Not Applicable;Not Applicable
aaa;Alabama;1;01/11/2017;01/11/2017;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;20;Not Applicable;Not Applicable
aaa;Alabama;1;01/11/2017;01/11/2017;Chronic obstructive pulmonary disease with acute exacerbation, unspecified;J44.1;16;Not Applicable;Not Applicable
aaa;Alabama;1;01/11/2017;01/11/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;226;Not Applicable;Not Applicable
Total;Alabama;1;01/11/2017;01/11/2017;;;354;Not Applicable;Not Applicable
aaa;Alabama;1;01/12/2017;01/12/2017;Pneumonia, unspecified;J18.9;87;Not Applicable;Not Applicable
aaa;Alabama;1;01/12/2017;01/12/2017;Emphysema, unspecified;J43.9;10;Not Applicable;Not Applicable
aaa;Alabama;1;01/12/2017;01/12/2017;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;28;Not Applicable;Not Applicable
aaa;Alabama;1;01/12/2017;01/12/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;331;Not Applicable;Not Applicable
Total;Alabama;1;01/12/2017;01/12/2017;;;513;Not Applicable;Not Applicable
Total;Alabama;1;;;;;4660;Not Applicable;Not Applicable
aaa;Alaska;2;01/01/2017;01/01/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;10;Not Applicable;Not Applicable
Total;Alaska;2;01/01/2017;01/01/2017;;;24;Not Applicable;Not Applicable
aaa;Alaska;2;01/02/2017;01/02/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;11;Not Applicable;Not Applicable
Total;Alaska;2;01/02/2017;01/02/2017;;;23;Not Applicable;Not Applicable
aaa;Alaska;2;01/03/2017;01/03/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;11;Not Applicable;Not Applicable
Total;Alaska;2;01/03/2017;01/03/2017;;;26;Not Applicable;Not Applicable
aaa;Alaska;2;01/04/2017;01/04/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;17;Not Applicable;Not Applicable
Total;Alaska;2;01/04/2017;01/04/2017;;;28;Not Applicable;Not Applicable
Total;Alaska;2;01/05/2017;01/05/2017;;;11;Not Applicable;Not Applicable
aaa;Alaska;2;01/06/2017;01/06/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;12;Not Applicable;Not Applicable
Total;Alaska;2;01/06/2017;01/06/2017;;;18;Not Applicable;Not Applicable
aaa;Alaska;2;01/07/2017;01/07/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;14;Not Applicable;Not Applicable
Total;Alaska;2;01/07/2017;01/07/2017;;;18;Not Applicable;Not Applicable
aaa;Alaska;2;01/08/2017;01/08/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;13;Not Applicable;Not Applicable
Total;Alaska;2;01/08/2017;01/08/2017;;;22;Not Applicable;Not Applicable
Total;Alaska;2;01/09/2017;01/09/2017;;;20;Not Applicable;Not Applicable
aaa;Alaska;2;01/10/2017;01/10/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;15;Not Applicable;Not Applicable
Total;Alaska;2;01/10/2017;01/10/2017;;;27;Not Applicable;Not Applicable
aaa;Alaska;2;01/11/2017;01/11/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;16;Not Applicable;Not Applicable
Total;Alaska;2;01/11/2017;01/11/2017;;;25;Not Applicable;Not Applicable
aaa;Alaska;2;01/12/2017;01/12/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;15;Not Applicable;Not Applicable
Total;Alaska;2;01/12/2017;01/12/2017;;;28;Not Applicable;Not Applicable
Total;Alaska;2;;;;;270;Not Applicable;Not Applicable
aaa;Arizona;4;01/01/2017;01/01/2017;Pneumonia, unspecified;J18.9;58;Not Applicable;Not Applicable
aaa;Arizona;4;01/01/2017;01/01/2017;Emphysema, unspecified;J43.9;11;Not Applicable;Not Applicable
aaa;Arizona;4;01/01/2017;01/01/2017;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;47;Not Applicable;Not Applicable
aaa;Arizona;4;01/01/2017;01/01/2017;Chronic obstructive pulmonary disease with acute exacerbation, unspecified;J44.1;14;Not Applicable;Not Applicable
aaa;Arizona;4;01/01/2017;01/01/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;277;Not Applicable;Not Applicable
aaa;Arizona;4;01/01/2017;01/01/2017;Asthma, unspecified;J45.9;10;Not Applicable;Not Applicable
Total;Arizona;4;01/01/2017;01/01/2017;;;452;Not Applicable;Not Applicable
aaa;Arizona;4;01/02/2017;01/02/2017;Pneumonia, unspecified;J18.9;55;Not Applicable;Not Applicable
aaa;Arizona;4;01/02/2017;01/02/2017;Emphysema, unspecified;J43.9;13;Not Applicable;Not Applicable
aaa;Arizona;4;01/02/2017;01/02/2017;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;39;Not Applicable;Not Applicable
aaa;Arizona;4;01/02/2017;01/02/2017;Chronic obstructive pulmonary disease with acute exacerbation, unspecified;J44.1;11;Not Applicable;Not Applicable
aaa;Arizona;4;01/02/2017;01/02/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;264;Not Applicable;Not Applicable
