State,Month,pressure
Alabama,01/2014,997.523197951613
Alabama,02/2014,995.2457907857143
Alabama,03/2014,994.7776209193548
Alabama,04/2014,994.0639185833334
Alabama,05/2014,996.5522849838708
Alabama,06/2014,995.38896825
Alabama,07/2014,995.9897850161291
Alabama,08/2014,995.2393817580644
Alabama,09/2014,996.4058937000001
Alabama,10/2014,994.4973790483871
Alabama,11/2014,998.7536805333333
Alabama,12/2014,998.8028898548388
Alaska,01/2014,0.0
Alaska,02/2014,0.0
Alaska,03/2014,746.0971248064517
Alaska,04/2014,743.1906401
Alaska,05/2014,749.8585788709678
Alaska,06/2014,744.3217993666665
Alaska,07/2014,747.3425081612903
Alaska,08/2014,744.4314333214287
Alaska,09/2014,744.5795291000001
Alaska,10/2014,741.3444367096773
Alaska,11/2014,746.3386363666667
Alaska,12/2014,740.9765076774194
Arkansas,01/2014,0.0
Arkansas,02/2014,0.0
Arkansas,03/2014,0.0
Arkansas,04/2014,0.0
Arkansas,05/2014,0.0
Arkansas,06/2014,0.0
Arkansas,07/2014,0.0
Arkansas,08/2014,0.0
Arkansas,09/2014,0.0
Arkansas,10/2014,0.0
Arkansas,11/2014,0.0
Arkansas,12/2014,0.0
Arizona,01/2014,0.0
Arizona,02/2014,0.0
Arizona,03/2014,0.0
Arizona,04/2014,0.0
Arizona,05/2014,0.0
Arizona,06/2014,0.0
Arizona,07/2014,0.0
Arizona,08/2014,0.0
Arizona,09/2014,0.0
Arizona,10/2014,0.0
Arizona,11/2014,0.0
Arizona,12/2014,0.0
California,01/2014,983.7829694114549
California,02/2014,980.2909871102011
California,03/2014,980.6702876221476
California,04/2014,979.1480292837177
California,05/2014,978.1070322094134
California,06/2014,974.8381392025316
California,07/2014,976.0179633884587
California,08/2014,976.7842984212377
California,09/2014,972.5489872143895
California,10/2014,980.2395459906542
California,11/2014,984.1883333148689
California,12/2014,982.533257152699
Kansas,01/2014,0.0
Kansas,02/2014,0.0
Kansas,03/2014,0.0
Kansas,04/2014,0.0
Kansas,05/2014,0.0
Kansas,06/2014,0.0
Kansas,07/2014,0.0
Kansas,08/2014,0.0
Kansas,09/2014,0.0
Kansas,10/2014,0.0
Kansas,11/2014,0.0
Kansas,12/2014,0.0
North Carolina,01/2014,990.6062879354839
North Carolina,02/2014,989.6944196071428
North Carolina,03/2014,988.8883949354839
North Carolina,04/2014,988.0090277166667
North Carolina,05/2014,989.6893816612903
North Carolina,06/2014,988.3366666999999
North Carolina,07/2014,988.8349462580644
North Carolina,08/2014,988.913978516129
North Carolina,09/2014,991.1295139166667
North Carolina,10/2014,987.4737903064515
North Carolina,11/2014,991.0651570333334
North Carolina,12/2014,992.5193431935481
South Carolina,01/2014,0.0
South Carolina,02/2014,0.0
South Carolina,03/2014,0.0
South Carolina,04/2014,0.0
South Carolina,05/2014,0.0
South Carolina,06/2014,0.0
South Carolina,07/2014,0.0
South Carolina,08/2014,0.0
South Carolina,09/2014,0.0
South Carolina,10/2014,0.0
South Carolina,11/2014,0.0
South Carolina,12/2014,0.0
Colorado,01/2014,817.9417338951612
Colorado,02/2014,812.3728794910714
Colorado,03/2014,814.0246112177418
Colorado,04/2014,813.033661625
Colorado,05/2014,814.2217070080646
Colorado,06/2014,813.4634433916666
Colorado,07/2014,818.7258707419355
Colorado,08/2014,818.4135202580645
Colorado,09/2014,817.3584119833334
Colorado,10/2014,822.3617383548387
Colorado,11/2014,821.3251009666667
Colorado,12/2014,820.9306003870967
Connecticut,01/2014,993.908072655914
Connecticut,02/2014,994.870039654762
Connecticut,03/2014,994.178921548387
Connecticut,04/2014,995.8384015444444
Connecticut,05/2014,998.5744277927928
Connecticut,06/2014,1002.9272342466668
Connecticut,07/2014,1001.8281556645161
Connecticut,08/2014,1003.7828424193549
Connecticut,09/2014,1006.5431521666667
Connecticut,10/2014,1000.4447843354837
Connecticut,11/2014,1002.9826507933333
Connecticut,12/2014,1006.1764556451612
North Dakota,01/2014,944.262271641129
North Dakota,02/2014,946.40756871875
North Dakota,03/2014,945.8657080630252
North Dakota,04/2014,943.3859118458333
North Dakota,05/2014,945.0809432177418
North Dakota,06/2014,941.4002592310924
North Dakota,07/2014,924.1907436544716
North Dakota,08/2014,945.8130982862904
North Dakota,09/2014,946.5448723416667
North Dakota,10/2014,943.3968195000001
North Dakota,11/2014,945.763040264706
North Dakota,12/2014,947.3749495887097
South Dakota,01/2014,0.0
South Dakota,02/2014,0.0
South Dakota,03/2014,0.0
South Dakota,04/2014,0.0
South Dakota,05/2014,0.0
South Dakota,06/2014,0.0
South Dakota,07/2014,0.0
South Dakota,08/2014,0.0
South Dakota,09/2014,0.0
South Dakota,10/2014,0.0
South Dakota,11/2014,0.0
South Dakota,12/2014,0.0
Delaware,01/2014,0.0
Delaware,02/2014,0.0
Delaware,03/2014,0.0
Delaware,04/2014,0.0
Delaware,05/2014,0.0
Delaware,06/2014,0.0
Delaware,07/2014,0.0
Delaware,08/2014,0.0
Delaware,09/2014,0.0
Delaware,10/2014,0.0
Delaware,11/2014,0.0
Delaware,12/2014,0.0
Florida,01/2014,0.0
Florida,02/2014,0.0
Florida,03/2014,0.0
Florida,04/2014,0.0
Florida,05/2014,0.0
Florida,06/2014,0.0
Florida,07/2014,0.0
Florida,08/2014,0.0
Florida,09/2014,0.0
Florida,10/2014,1011.7916666129031
Florida,11/2014,1016.0305556
Florida,12/2014,1016.461021451613
Georgia,01/2014,995.6726190451611
Georgia,02/2014,993.3432379285714
Georgia,03/2014,992.6379000193548
Georgia,04/2014,991.7706901666666
Georgia,05/2014,994.0623518
Georgia,06/2014,992.0344455466668
Georgia,07/2014,992.2712165161291
Georgia,08/2014,991.9622837870968
Georgia,09/2014,993.53222218
Georgia,10/2014,991.7319446322581
Georgia,11/2014,996.3729929733335
Georgia,12/2014,996.6572994967743
Hawaii,01/2014,876.2983870967741
Hawaii,02/2014,877.4181548214286
Hawaii,03/2014,878.8387097096775
Hawaii,04/2014,879.9527778333335
Hawaii,05/2014,879.6881718709676
Hawaii,06/2014,879.4166666666667
Hawaii,07/2014,879.5537635806452
Hawaii,08/2014,878.0332749999999
Hawaii,09/2014,878.8087725666667
Hawaii,10/2014,879.1706989032259
Hawaii,11/2014,878.6833333000001
Hawaii,12/2014,877.9543010967743
Idaho,01/2014,929.1376483568549
Idaho,02/2014,921.74334728125
Idaho,03/2014,922.7724121532259
Idaho,04/2014,930.5255510222222
Idaho,05/2014,930.965766513441
Idaho,06/2014,925.4242157142858
Idaho,07/2014,925.2795358969073
Idaho,08/2014,926.6249980160429
Idaho,09/2014,922.9906184892086
Idaho,10/2014,923.7294002688172
Idaho,11/2014,926.247729191111
Idaho,12/2014,924.9788086967741
Rhode Island,01/2014,1006.8965054193548
Rhode Island,02/2014,1007.6584821250001
Rhode Island,03/2014,1007.090056919355
Rhode Island,04/2014,1009.4499999833334
Rhode Island,05/2014,1008.5892064354839
Rhode Island,06/2014,1008.7114130833331
Rhode Island,07/2014,1007.7788978709679
Rhode Island,08/2014,1009.5891947419354
Rhode Island,09/2014,1012.4472221833333
Rhode Island,10/2014,1005.9711021774193
Rhode Island,11/2014,1008.2132547666668
Rhode Island,12/2014,1012.1981357741937
Illinois,01/2014,997.2535230322579
Illinois,02/2014,999.6414337678572
Illinois,03/2014,998.4711020483871
Illinois,04/2014,994.4583333166665
Illinois,05/2014,996.297043
Illinois,06/2014,994.4957352666667
Illinois,07/2014,996.8494623387097
Illinois,08/2014,996.4133064354837
Illinois,09/2014,999.5986111000001
Illinois,10/2014,994.4206989516128
Illinois,11/2014,998.4888889000001
Illinois,12/2014,1002.8020528387096
Indiana,01/2014,996.9269323387097
Indiana,02/2014,998.3015873035713
Indiana,03/2014,995.3780661290324
Indiana,04/2014,992.0056504571429
Indiana,05/2014,994.1130320945273
Indiana,06/2014,992.8550749999999
Indiana,07/2014,994.1038896634616
Indiana,08/2014,993.4197705345622
Indiana,09/2014,996.2215579809524
Indiana,10/2014,991.3598112949309
Indiana,11/2014,995.8488165333333
Indiana,12/2014,999.1318135207373
Iowa,01/2014,987.5960695080645
Iowa,02/2014,990.3825293958334
Iowa,03/2014,988.5346615403225
Iowa,04/2014,983.8958228166666
Iowa,05/2014,985.9466720247253
Iowa,06/2014,984.8432827283237
Iowa,07/2014,988.2202384040116
Iowa,08/2014,986.7914105107528
Iowa,09/2014,990.0230593577465
Iowa,10/2014,985.6100379487872
Iowa,11/2014,988.4233897666667
Iowa,12/2014,992.7470318118278
Kentucky,01/2014,997.9326612903225
Kentucky,02/2014,997.956448440476
Kentucky,03/2014,996.6844533763443
Kentucky,04/2014,993.8361672777778
Kentucky,05/2014,996.0676075053763
Kentucky,06/2014,994.4651345000001
Kentucky,07/2014,994.82720816129
Kentucky,08/2014,990.2476321505376
Kentucky,09/2014,998.1111943000001
Kentucky,10/2014,985.9396057634407
Kentucky,11/2014,983.8317592555557
Kentucky,12/2014,990.8599014408601
Louisiana,01/2014,1016.3263171806451
Louisiana,02/2014,1012.4513374285714
Louisiana,03/2014,1011.8544866967742
Louisiana,04/2014,1010.0562098444444
Louisiana,05/2014,1012.0827624301076
Louisiana,06/2014,1010.8224598314608
Louisiana,07/2014,1011.6012634064517
Louisiana,08/2014,1010.2862365806451
Louisiana,09/2014,1010.4940929527027
Louisiana,10/2014,1010.652599851613
Louisiana,11/2014,1015.6908257466667
Louisiana,12/2014,1015.0597311935484
Maine,01/2014,1005.4986558064516
Maine,02/2014,1006.6889881785713
Maine,03/2014,1006.459677387097
Maine,04/2014,1008.5249999666668
Maine,05/2014,1008.1370967419356
Maine,06/2014,1008.1013888666665
Maine,07/2014,985.9798387741935
Maine,08/2014,1042.9005376129032
Maine,09/2014,1073.9222222
Maine,10/2014,1053.0416666451613
Maine,11/2014,1055.3152054
Maine,12/2014,1058.9744623870968
Maryland,01/2014,999.5662269272726
Maryland,02/2014,1000.8972391951872
Maryland,03/2014,1000.3990476443417
Maryland,04/2014,1001.2959779511111
Maryland,05/2014,1000.0808619884526
Maryland,06/2014,1000.4421153125002
Maryland,07/2014,1000.0908093586957
Maryland,08/2014,1001.2041355565218
Maryland,09/2014,1003.7202380111606
Maryland,10/2014,998.4678304502163
Maryland,11/2014,1002.3753983377778
Maryland,12/2014,1004.5481401936936
Massachusetts,01/2014,1003.8791821091811
Massachusetts,02/2014,1004.7972457884615
Massachusetts,03/2014,1004.2628307636817
