State,Month,humidity
Alabama,01/2015,64.94959682258065
Alabama,02/2015,59.98788267857143
Alabama,03/2015,72.77419354838712
Alabama,04/2015,70.58263893333333
Alabama,05/2015,67.39448927419355
Alabama,06/2015,67.99779036666668
Alabama,07/2015,70.72043011290322
Alabama,08/2015,69.55645159677418
Alabama,09/2015,71.19441431666665
Alabama,10/2015,67.12836020967741
Alabama,11/2015,71.82916664999999
Alabama,12/2015,74.85954300000002
Alaska,01/2015,78.59139777419355
Alaska,02/2015,78.77536230434782
Alaska,03/2015,0.0
Alaska,04/2015,0.0
Alaska,05/2015,0.0
Alaska,06/2015,0.0
Alaska,07/2015,71.57143119512195
Alaska,08/2015,76.82392470967743
Alaska,09/2015,69.34963611764707
Alaska,10/2015,64.50467325806451
Alaska,11/2015,65.29473516666665
Alaska,12/2015,66.25806451612904
Arkansas,01/2015,20.59677422580645
Arkansas,02/2015,20.592261892857145
Arkansas,03/2015,32.02634096551724
Arkansas,04/2015,31.4069445
Arkansas,05/2015,31.385752677419354
Arkansas,06/2015,29.268055566666664
Arkansas,07/2015,26.26209680645161
Arkansas,08/2015,24.717741967741937
Arkansas,09/2015,23.380555466666667
Arkansas,10/2015,26.536290258064515
Arkansas,11/2015,30.829166633333333
Arkansas,12/2015,29.559139838709672
Arizona,01/2015,55.3784578764706
Arizona,02/2015,46.492471364820844
Arizona,03/2015,35.14050096764706
Arizona,04/2015,25.810140826666665
Arizona,05/2015,30.539247309677418
Arizona,06/2015,27.701257113333334
Arizona,07/2015,42.71719308496732
Arizona,08/2015,42.705695054838706
Arizona,09/2015,48.93003964333333
Arizona,10/2015,51.15808149853372
Arizona,11/2015,44.68288491515152
Arizona,12/2015,46.78440385630498
California,01/2015,58.01837017573639
California,02/2015,57.89700226581576
California,03/2015,48.85468126108871
California,04/2015,46.977578849848335
California,05/2015,57.35418933631652
California,06/2015,48.35712608803502
California,07/2015,53.286476700181986
California,08/2015,47.44101183469299
California,09/2015,46.786752074169904
California,10/2015,53.73421416851623
California,11/2015,50.892181558712906
California,12/2015,58.162153660238
Kansas,01/2015,67.56260922580647
Kansas,02/2015,69.30714285714285
Kansas,03/2015,63.185043774193545
Kansas,04/2015,66.6818861
Kansas,05/2015,73.93197564516129
Kansas,06/2015,69.9862735
Kansas,07/2015,70.733345
Kansas,08/2015,68.50268822580645
Kansas,09/2015,66.37596613333334
Kansas,10/2015,62.38306454838709
Kansas,11/2015,65.5986111
Kansas,12/2015,72.00268812903226
North Carolina,01/2015,66.79448541071427
North Carolina,02/2015,62.42303571428572
North Carolina,03/2015,67.34777869677421
North Carolina,04/2015,69.79115962222222
North Carolina,05/2015,69.69690863440862
North Carolina,06/2015,72.88168798235294
North Carolina,07/2015,73.3780253480663
North Carolina,08/2015,73.006625
North Carolina,09/2015,79.12955115238098
North Carolina,10/2015,79.34825903225806
North Carolina,11/2015,76.81462642583732
North Carolina,12/2015,83.35965820737329
South Carolina,01/2015,44.65705126923077
South Carolina,02/2015,44.370535714285715
South Carolina,03/2015,50.36155916129032
South Carolina,04/2015,51.4005450882353
South Carolina,05/2015,55.72340835483871
South Carolina,06/2015,60.41573525
South Carolina,07/2015,65.846875
South Carolina,08/2015,62.844470048387095
South Carolina,09/2015,68.61578281666668
South Carolina,10/2015,66.27083323076923
South Carolina,11/2015,64.15331805263158
South Carolina,12/2015,76.6719444516129
Colorado,01/2015,69.3475060372093
Colorado,02/2015,60.623832196930955
Colorado,03/2015,48.985432525345615
Colorado,04/2015,46.770670484777526
Colorado,05/2015,64.51141162637363
Colorado,06/2015,47.974645454761905
Colorado,07/2015,53.710398013921115
Colorado,08/2015,47.008095273118286
Colorado,09/2015,45.1959779058296
Colorado,10/2015,58.709763087866115
Colorado,11/2015,59.91355700833333
Colorado,12/2015,66.75786162903225
Connecticut,01/2015,41.55967741290323
Connecticut,02/2015,39.787600528571424
Connecticut,03/2015,44.86450005161291
Connecticut,04/2015,50.16492845333333
Connecticut,05/2015,59.90957967741936
Connecticut,06/2015,67.91861112666666
Connecticut,07/2015,66.92071727741936
Connecticut,08/2015,66.78874352903226
Connecticut,09/2015,68.34692198026316
Connecticut,10/2015,57.97110212903225
Connecticut,11/2015,56.09533218888888
Connecticut,12/2015,61.09975681182795
North Dakota,01/2015,76.68899018548385
North Dakota,02/2015,74.98575683035713
North Dakota,03/2015,66.60273093548388
North Dakota,04/2015,54.258203974999994
North Dakota,05/2015,65.03935816935483
North Dakota,06/2015,68.23594483333333
North Dakota,07/2015,69.23990560483871
North Dakota,08/2015,65.37172789430895
North Dakota,09/2015,66.68516405882353
North Dakota,10/2015,70.07074435
North Dakota,11/2015,76.8157971923077
North Dakota,12/2015,82.07274344354838
South Dakota,01/2015,67.30937982258064
South Dakota,02/2015,67.141664375
South Dakota,03/2015,54.49267224193549
South Dakota,04/2015,54.65271549999999
South Dakota,05/2015,64.06904765714285
South Dakota,06/2015,65.3291667
South Dakota,07/2015,66.27553767741935
South Dakota,08/2015,71.74585080645161
South Dakota,09/2015,70.3000603
South Dakota,10/2015,56.88892817543859
South Dakota,11/2015,63.21041668333333
South Dakota,12/2015,71.98497067741937
Delaware,01/2015,57.583333419354844
Delaware,02/2015,51.66815475
Delaware,03/2015,55.695468419354846
Delaware,04/2015,52.32415456666667
Delaware,05/2015,59.367695193548386
Delaware,06/2015,68.14034439285714
Delaware,07/2015,63.96841396774194
Delaware,08/2015,58.63440861290322
Delaware,09/2015,63.4652778
Delaware,10/2015,73.62037033333333
Delaware,11/2015,61.07860655172414
Delaware,12/2015,71.4005376451613
Florida,01/2015,82.15213179069768
Florida,02/2015,75.59226192857143
Florida,03/2015,74.61605942105263
Florida,04/2015,71.60138891666666
Florida,05/2015,65.047043
Florida,06/2015,71.81406753333334
Florida,07/2015,74.4254032096774
Florida,08/2015,76.20914165432099
Florida,09/2015,78.8452778
Florida,10/2015,75.34533582795697
Florida,11/2015,78.50007715555556
Florida,12/2015,80.91170847311828
Georgia,01/2015,68.73492829444444
Georgia,02/2015,64.77750238323353
Georgia,03/2015,72.33604675362318
Georgia,04/2015,72.63511217703349
Georgia,05/2015,70.11897330875576
Georgia,06/2015,74.4848645049505
Georgia,07/2015,75.97850379262673
Georgia,08/2015,77.115291921659
Georgia,09/2015,81.16474368571428
Georgia,10/2015,80.68846690995261
Georgia,11/2015,78.00118582439025
Georgia,12/2015,80.17966307575757
Hawaii,01/2015,86.92827366129032
Hawaii,02/2015,85.05080783928572
Hawaii,03/2015,91.54637101612902
Hawaii,04/2015,92.6951389
Hawaii,05/2015,94.03378546774194
Hawaii,06/2015,91.4965278
Hawaii,07/2015,90.196236516129
Hawaii,08/2015,89.49327956451613
Hawaii,09/2015,92.11736109999998
