State,Month,no2
Alabama,01/2015,13.579899704918033
Alabama,02/2015,11.798753839285714
Alabama,03/2015,11.774112096774196
Alabama,04/2015,11.193165076923076
Alabama,05/2015,11.041550085106385
Alabama,06/2015,10.12982840677966
Alabama,07/2015,10.30857952542373
Alabama,08/2015,9.553288903225804
Alabama,09/2015,11.20103376666667
Alabama,10/2015,9.801180260869568
Alabama,11/2015,9.949289567567567
Alabama,12/2015,11.608593661290321
Alaska,01/2015,29.793247290322583
Alaska,02/2015,28.717205785714288
Alaska,03/2015,18.449745000000004
Alaska,04/2015,5.6256331034482745
Alaska,05/2015,4.939623612903227
Alaska,06/2015,3.768115034482758
Alaska,07/2015,3.6186970333333335
Alaska,08/2015,2.805620741935484
Alaska,09/2015,5.487252466666666
Alaska,10/2015,10.586518193548384
Alaska,11/2015,16.319010809523807
Alaska,12/2015,23.239079903225807
Arkansas,01/2015,10.341548403225806
Arkansas,02/2015,7.944016214285715
Arkansas,03/2015,9.08998606451613
Arkansas,04/2015,6.47924825
Arkansas,05/2015,6.782701360655738
Arkansas,06/2015,5.802964966666667
Arkansas,07/2015,5.56278985483871
Arkansas,08/2015,7.257651193548387
Arkansas,09/2015,8.261900783333333
Arkansas,10/2015,8.918386354838708
Arkansas,11/2015,8.853092049999999
Arkansas,12/2015,8.689785758064518
Arizona,01/2015,18.00418576258993
Arizona,02/2015,16.932026595238096
Arizona,03/2015,15.348740831541216
Arizona,04/2015,11.99617485925926
Arizona,05/2015,9.22650375
Arizona,06/2015,9.247006729629629
Arizona,07/2015,6.893572223826714
Arizona,08/2015,8.684001144404332
Arizona,09/2015,12.127536094276095
Arizona,10/2015,15.547099931596092
Arizona,11/2015,18.743685589473685
Arizona,12/2015,21.102832665480427
California,01/2015,14.86394163695511
California,02/2015,12.10385453398409
California,03/2015,10.586692595206829
California,04/2015,7.953580352442997
California,05/2015,5.473772315603973
California,06/2015,6.973328726086956
California,07/2015,5.788213900852542
California,08/2015,7.128598561202355
California,09/2015,9.60240496148825
California,10/2015,11.26086071278959
California,11/2015,12.933030605651894
California,12/2015,13.437824208359325
Kansas,01/2015,8.065300194630874
Kansas,02/2015,6.543319485714286
Kansas,03/2015,7.335254532467531
Kansas,04/2015,5.135389858108108
Kansas,05/2015,3.977261441379311
Kansas,06/2015,4.00587128
Kansas,07/2015,5.074337700787401
Kansas,08/2015,4.847757827586208
Kansas,09/2015,4.620178406666668
Kansas,10/2015,5.466574064516129
Kansas,11/2015,5.399451366666667
Kansas,12/2015,6.5649750129032265
North Carolina,01/2015,10.525482535135135
North Carolina,02/2015,8.953737715277777
North Carolina,03/2015,7.637986252688171
North Carolina,04/2015,5.968951733333334
North Carolina,05/2015,5.776842548387097
North Carolina,06/2015,6.008057827777778
North Carolina,07/2015,5.574067870786516
North Carolina,08/2015,5.936978352601157
North Carolina,09/2015,5.447262408536585
North Carolina,10/2015,7.202892784946236
North Carolina,11/2015,8.631030719101124
North Carolina,12/2015,9.15435190860215
South Carolina,01/2015,8.082871295454545
South Carolina,02/2015,7.106149447368421
South Carolina,03/2015,7.238354806451613
South Carolina,04/2015,5.475031803921569
South Carolina,05/2015,6.537488857142857
South Carolina,06/2015,4.604294609375
South Carolina,07/2015,4.660993442857143
South Carolina,08/2015,5.870379112903225
South Carolina,09/2015,6.355004377049179
South Carolina,10/2015,5.626349903225806
South Carolina,11/2015,6.123881622222223
South Carolina,12/2015,8.810252841269843
Colorado,01/2015,13.266018996913582
Colorado,02/2015,11.11568245602606
Colorado,03/2015,10.364034923529411
Colorado,04/2015,7.329192260623229
Colorado,05/2015,6.417377281842817
Colorado,06/2015,6.5233049797101454
Colorado,07/2015,6.361629525
Colorado,08/2015,6.899980258241759
Colorado,09/2015,7.9729287318435755
Colorado,10/2015,11.95060489382716
Colorado,11/2015,13.425636814356436
Colorado,12/2015,17.568512845433254
Connecticut,01/2015,12.980602575000002
Connecticut,02/2015,15.0556828125
Connecticut,03/2015,13.683659379032255
Connecticut,04/2015,9.361488133333333
Connecticut,05/2015,8.61452083064516
Connecticut,06/2015,7.72366859
