State,Month,pm10
Alabama,01/2015,13.302702702702703
Alabama,02/2015,16.036363636363635
Alabama,03/2015,16.419047619047618
Alabama,04/2015,16.080459770114942
Alabama,05/2015,20.95897435897436
Alabama,06/2015,27.87719298245614
Alabama,07/2015,27.20212765957447
Alabama,08/2015,19.529411764705884
Alabama,09/2015,17.768817204301076
Alabama,10/2015,17.844559585492227
Alabama,11/2015,12.689839572192513
Alabama,12/2015,13.252747252747254
Alaska,01/2015,17.06896551724138
Alaska,02/2015,22.5
Alaska,03/2015,20.642857142857142
Alaska,04/2015,17.305732484076433
Alaska,05/2015,16.68354430379747
Alaska,06/2015,20.815217391304348
Alaska,07/2015,15.678756476683938
Alaska,08/2015,10.821052631578947
Alaska,09/2015,8.259668508287293
Alaska,10/2015,17.114427860696516
Alaska,11/2015,15.217391304347826
Alaska,12/2015,20.1010101010101
Arkansas,01/2015,13.0
Arkansas,02/2015,15.642857142857142
Arkansas,03/2015,14.85
Arkansas,04/2015,14.647058823529411
Arkansas,05/2015,15.222222222222221
Arkansas,06/2015,32.125
Arkansas,07/2015,23.22222222222222
Arkansas,08/2015,21.055555555555557
Arkansas,09/2015,23.5
Arkansas,10/2015,23.41176470588235
Arkansas,11/2015,14.11111111111111
Arkansas,12/2015,13.882352941176471
Arizona,01/2015,19.61782178217822
Arizona,02/2015,23.556118754525706
Arizona,03/2015,26.521437578814627
Arizona,04/2015,30.735059760956176
Arizona,05/2015,24.910340314136125
Arizona,06/2015,31.44736842105263
Arizona,07/2015,25.022132796780685
Arizona,08/2015,28.86829268292683
Arizona,09/2015,23.674825174825173
Arizona,10/2015,22.356860158311346
Arizona,11/2015,29.06393001345895
Arizona,12/2015,31.74889310562935
California,01/2015,19.62759415833974
California,02/2015,22.073702573048408
California,03/2015,19.39939713639789
California,04/2015,28.37716535433071
California,05/2015,21.469731800766283
California,06/2015,24.94496124031008
California,07/2015,23.176082171680118
California,08/2015,31.263387978142077
California,09/2015,32.92882011605416
California,10/2015,25.46775997018263
California,11/2015,22.545766590389015
California,12/2015,21.332075471698115
Kansas,01/2015,16.402985074626866
Kansas,02/2015,13.427777777777777
Kansas,03/2015,21.914141414141415
Kansas,04/2015,18.680628272251308
Kansas,05/2015,12.82587064676617
Kansas,06/2015,26.642487046632123
Kansas,07/2015,28.645
Kansas,08/2015,21.935
Kansas,09/2015,21.50515463917526
Kansas,10/2015,22.122448979591837
Kansas,11/2015,13.354285714285714
Kansas,12/2015,12.628415300546449
North Carolina,01/2015,9.415841584158416
North Carolina,02/2015,10.795698924731182
North Carolina,03/2015,11.745762711864407
North Carolina,04/2015,14.25925925925926
North Carolina,05/2015,18.011904761904763
North Carolina,06/2015,17.60483870967742
North Carolina,07/2015,19.173228346456693
North Carolina,08/2015,16.119402985074625
North Carolina,09/2015,13.385826771653543
North Carolina,10/2015,11.831932773109244
North Carolina,11/2015,8.984375
North Carolina,12/2015,8.72
South Carolina,01/2015,12.06060606060606
