State,Month,temp
Alabama,01/2015,43.65497312903226
Alabama,02/2015,40.20311437499999
Alabama,03/2015,57.20577962903227
Alabama,04/2015,66.14847223333335
Alabama,05/2015,72.99422041935483
Alabama,06/2015,80.43831434999998
Alabama,07/2015,82.27567204838711
Alabama,08/2015,79.4952284516129
Alabama,09/2015,74.88342170000001
Alabama,10/2015,65.85053762903225
Alabama,11/2015,59.42298610000001
Alabama,12/2015,57.2883065
Alaska,01/2015,0.9379480537634408
Alaska,02/2015,7.185813476190477
Alaska,03/2015,19.110035881720428
Alaska,04/2015,32.9222222
Alaska,05/2015,50.424731193548396
Alaska,06/2015,52.935185222222216
Alaska,07/2015,56.61798778048781
Alaska,08/2015,48.733871
Alaska,09/2015,38.088703745098044
Alaska,10/2015,31.933127919354835
Alaska,11/2015,14.272799366666666
Alaska,12/2015,5.470631790322581
Arkansas,01/2015,41.86424722580645
Arkansas,02/2015,38.06994039285714
Arkansas,03/2015,52.37356327586206
Arkansas,04/2015,64.80138886666667
Arkansas,05/2015,72.05241938709678
Arkansas,06/2015,81.02777776666667
Arkansas,07/2015,81.92876345161291
Arkansas,08/2015,81.30913977419355
Arkansas,09/2015,76.2958333
Arkansas,10/2015,65.62096777419355
Arkansas,11/2015,56.79166656666666
Arkansas,12/2015,53.41263432258066
Arizona,01/2015,51.3170067010101
Arizona,02/2015,58.436489147651
Arizona,03/2015,63.75856729494949
Arizona,04/2015,65.88997517619048
Arizona,05/2015,70.3268483110599
Arizona,06/2015,85.49450282857143
Arizona,07/2015,83.4818861
Arizona,08/2015,85.23683662355658
Arizona,09/2015,79.47782172749392
Arizona,10/2015,70.17695184677419
Arizona,11/2015,54.995782481250004
Arizona,12/2015,47.6771819375
California,01/2015,52.54687189010695
California,02/2015,57.10249797156539
California,03/2015,61.59489141686877
California,04/2015,60.667088378222715
California,05/2015,62.091315440829185
California,06/2015,73.6469067437009
California,07/2015,74.68806788973086
California,08/2015,76.86592091970431
California,09/2015,74.691238275154
California,10/2015,68.56458563010446
California,11/2015,52.90343143353584
California,12/2015,47.923681853744704
Kansas,01/2015,31.3658835483871
Kansas,02/2015,25.811011892857135
Kansas,03/2015,45.95295696774194
Kansas,04/2015,55.39583326666666
Kansas,05/2015,66.36912429032257
Kansas,06/2015,81.30194806666667
Kansas,07/2015,83.9875525483871
Kansas,08/2015,80.9126344516129
Kansas,09/2015,78.30120773333333
Kansas,10/2015,63.77688177419355
