State,Month,Deaths
Alabama,01/2016,401.0
Alabama,02/2016,402.0
Alabama,03/2016,426.0
Alabama,04/2016,350.0
Alabama,05/2016,364.0
Alabama,06/2016,305.0
Alabama,07/2016,330.0
Alabama,08/2016,315.0
Alabama,09/2016,304.0
Alabama,10/2016,346.0
Alabama,11/2016,349.0
Alabama,12/2016,421.0
Alaska,01/2016,20.0
Alaska,02/2016,25.0
Alaska,03/2016,28.0
Alaska,04/2016,32.0
Alaska,05/2016,33.0
Alaska,06/2016,16.0
Alaska,07/2016,21.0
Alaska,08/2016,28.0
Alaska,09/2016,16.0
Alaska,10/2016,29.0
Alaska,11/2016,23.0
Alaska,12/2016,28.0
Arkansas,01/2016,259.0
Arkansas,02/2016,237.0
Arkansas,03/2016,246.0
Arkansas,04/2016,240.0
Arkansas,05/2016,244.0
Arkansas,06/2016,207.0
Arkansas,07/2016,209.0
Arkansas,08/2016,204.0
Arkansas,09/2016,205.0
Arkansas,10/2016,218.0
Arkansas,11/2016,253.0
Arkansas,12/2016,270.0
Arizona,01/2016,447.0
Arizona,02/2016,532.0
Arizona,03/2016,597.0
Arizona,04/2016,455.0
Arizona,05/2016,349.0
Arizona,06/2016,345.0
Arizona,07/2016,289.0
Arizona,08/2016,333.0
Arizona,09/2016,295.0
Arizona,10/2016,325.0
Arizona,11/2016,340.0
Arizona,12/2016,378.0
California,01/2016,2051.0
California,02/2016,2029.0
California,03/2016,2184.0
California,04/2016,1714.0
California,05/2016,1561.0
California,06/2016,1284.0
California,07/2016,1435.0
California,08/2016,1296.0
California,09/2016,1318.0
California,10/2016,1422.0
California,11/2016,1498.0
California,12/2016,1899.0
Kansas,01/2016,213.0
Kansas,02/2016,187.0
Kansas,03/2016,231.0
Kansas,04/2016,198.0
Kansas,05/2016,161.0
Kansas,06/2016,153.0
Kansas,07/2016,181.0
Kansas,08/2016,157.0
Kansas,09/2016,152.0
Kansas,10/2016,146.0
Kansas,11/2016,170.0
Kansas,12/2016,227.0
North Carolina,01/2016,760.0
North Carolina,02/2016,660.0
North Carolina,03/2016,725.0
North Carolina,04/2016,607.0
North Carolina,05/2016,569.0
North Carolina,06/2016,514.0
North Carolina,07/2016,489.0
North Carolina,08/2016,514.0
North Carolina,09/2016,494.0
North Carolina,10/2016,570.0
North Carolina,11/2016,590.0
North Carolina,12/2016,715.0
South Carolina,01/2016,326.0
South Carolina,02/2016,362.0
South Carolina,03/2016,335.0
South Carolina,04/2016,333.0
South Carolina,05/2016,292.0
South Carolina,06/2016,278.0
