State,Month,o3
Alabama,01/2017,0.029193806451612906
Alabama,02/2017,0.028223838235294115
Alabama,03/2017,0.034909541916167665
Alabama,04/2017,0.03302588209606987
Alabama,05/2017,0.03219191151685393
Alabama,06/2017,0.022825660349854227
Alabama,07/2017,0.02321965352112676
Alabama,08/2017,0.022882463872832368
Alabama,09/2017,0.02549331940298507
Alabama,10/2017,0.023193620839363244
Alabama,11/2017,0.023428383333333337
Alabama,12/2017,0.020973967741935485
Alaska,01/2017,0.021631739130434785
Alaska,02/2017,0.029890967741935486
Alaska,03/2017,0.03737475806451613
Alaska,04/2017,0.038309863636363635
Alaska,05/2017,0.03305656976744186
Alaska,06/2017,0.026366359550561803
Alaska,07/2017,0.018739913978494626
Alaska,08/2017,0.01748709677419355
Alaska,09/2017,0.018291322222222222
Alaska,10/2017,0.0202045376344086
Alaska,11/2017,0.02370332653061225
Alaska,12/2017,0.021941737704918033
Arkansas,01/2017,0.024152020161290325
Arkansas,02/2017,0.03219945982142857
Arkansas,03/2017,0.03603633064516129
Arkansas,04/2017,0.03573284873949579
Arkansas,05/2017,0.03721278861788618
Arkansas,06/2017,0.030097613445378153
Arkansas,07/2017,0.03088456048387097
Arkansas,08/2017,0.028476297959183675
Arkansas,09/2017,0.0321857875
Arkansas,10/2017,0.030196596774193545
Arkansas,11/2017,0.025016820083682008
Arkansas,12/2017,0.02447698790322581
Arizona,01/2017,0.025850235801581592
Arizona,02/2017,0.030199097119341562
Arizona,03/2017,0.038106224653537565
Arizona,04/2017,0.04716074831460674
Arizona,05/2017,0.04661003311735062
Arizona,06/2017,0.045496824894514766
Arizona,07/2017,0.04281940909090909
Arizona,08/2017,0.03996195053763441
Arizona,09/2017,0.03874168120300752
Arizona,10/2017,0.03487208040935672
Arizona,11/2017,0.025594401253918497
Arizona,12/2017,0.026163268185157976
California,01/2017,0.02553980521042084
California,02/2017,0.028034258128732583
California,03/2017,0.03267711341853035
California,04/2017,0.039427051024428686
California,05/2017,0.03918352692673644
California,06/2017,0.03843563264903276
California,07/2017,0.0397217373489426
California,08/2017,0.03924221895734597
California,09/2017,0.03718642414739318
California,10/2017,0.0348541526906256
California,11/2017,0.023100608483864422
California,12/2017,0.021868813018242124
Kansas,01/2017,0.02089298566308244
Kansas,02/2017,0.028634718253968256
Kansas,03/2017,0.03181075268817204
Kansas,04/2017,0.03321424444444444
Kansas,05/2017,0.03699143911439114
Kansas,06/2017,0.03602226778242679
Kansas,07/2017,0.03695763358778626
Kansas,08/2017,0.03103001581027668
Kansas,09/2017,0.033437532075471704
Kansas,10/2017,0.028537767025089603
Kansas,11/2017,0.02142361240310078
Kansas,12/2017,0.02377395698924731
North Carolina,01/2017,0.026594120833333332
North Carolina,02/2017,0.03485336693548387
North Carolina,03/2017,0.039490028404344193
North Carolina,04/2017,0.037645101608806096
North Carolina,05/2017,0.03705115953947369
North Carolina,06/2017,0.03190502282333052
North Carolina,07/2017,0.03197886146095718
North Carolina,08/2017,0.029708353960396037
North Carolina,09/2017,0.02829727564102564
North Carolina,10/2017,0.02666490058972199
North Carolina,11/2017,0.024523451063829787
North Carolina,12/2017,0.025986831275720164
South Carolina,01/2017,0.02642545970149254
South Carolina,02/2017,0.03413791447368421
South Carolina,03/2017,0.038863758865248225
South Carolina,04/2017,0.03467825678119349
South Carolina,05/2017,0.033618446153846154
South Carolina,06/2017,0.027737501766784453
South Carolina,07/2017,0.02751138028169014
South Carolina,08/2017,0.0260804116575592
South Carolina,09/2017,0.028081059171597634
South Carolina,10/2017,0.024183926640926643
South Carolina,11/2017,0.022398189504373178
South Carolina,12/2017,0.024393664451827245
Colorado,01/2017,0.032009452318460196
Colorado,02/2017,0.036462366892545985
Colorado,03/2017,0.04002271048109965
Colorado,04/2017,0.046682900575184885
Colorado,05/2017,0.04443309312638581
Colorado,06/2017,0.04609370391459075
Colorado,07/2017,0.046217685147159474
Colorado,08/2017,0.042331503105590064
Colorado,09/2017,0.03985953813855843
Colorado,10/2017,0.0335758781275222
Colorado,11/2017,0.027646391725352115
Colorado,12/2017,0.029589315371024737
Connecticut,01/2017,0.024368725806451618
Connecticut,02/2017,0.031343809090909086
Connecticut,03/2017,0.037934213698630134
Connecticut,04/2017,0.03818224438202247
Connecticut,05/2017,0.035236280991735536
Connecticut,06/2017,0.03833500555555555
Connecticut,07/2017,0.03437623097826087
Connecticut,08/2017,0.033097175000000006
Connecticut,09/2017,0.028131282913165263
Connecticut,10/2017,0.02828604958677686
Connecticut,11/2017,0.024275108333333337
Connecticut,12/2017,0.025067532786885248
North Dakota,01/2017,0.031164926686217006
North Dakota,02/2017,0.032132092261904756
North Dakota,03/2017,0.03150914247311828
North Dakota,04/2017,0.03421826388888889
North Dakota,05/2017,0.037405247311827955
North Dakota,06/2017,0.0373100288184438
North Dakota,07/2017,0.03955911781609195
North Dakota,08/2017,0.03143643916913947
North Dakota,09/2017,0.025585726470588235
North Dakota,10/2017,0.024952904109589044
North Dakota,11/2017,0.021823192634560905
North Dakota,12/2017,0.02599280979827089
South Dakota,01/2017,0.030513157303370786
South Dakota,02/2017,0.03130681325301205
South Dakota,03/2017,0.03292620430107527
South Dakota,04/2017,0.03525455555555555
South Dakota,05/2017,0.03725667741935484
South Dakota,06/2017,0.039525983333333334
South Dakota,07/2017,0.040674478494623655
South Dakota,08/2017,0.03249184408602151
South Dakota,09/2017,0.03063098333333333
South Dakota,10/2017,0.02998583333333333
South Dakota,11/2017,0.024320000000000005
South Dakota,12/2017,0.029168489130434783
Delaware,01/2017,0.02196362857142857
Delaware,02/2017,0.030831556122448978
