State,Month,co
Alabama,01/2018,0.2600987777777778
Alabama,02/2018,0.21274770999999998
Alabama,03/2018,0.22586263636363635
Alabama,04/2018,0.21348935795454543
Alabama,05/2018,0.3035260284090909
Alabama,06/2018,0.35719457222222223
Alabama,07/2018,0.23536610439560438
Alabama,08/2018,0.22550818279569895
Alabama,09/2018,0.22031863333333337
Alabama,10/2018,0.24736116129032257
Alabama,11/2018,0.2801962207792208
Alabama,12/2018,0.29556357692307694
Alaska,01/2018,0.6443752741935483
Alaska,02/2018,0.6656764090909091
Alaska,03/2018,0.41490686324786324
Alaska,04/2018,0.2907894903846154
Alaska,05/2018,0.20939262244897963
Alaska,06/2018,0.19445904999999997
Alaska,07/2018,0.1898825806451613
Alaska,08/2018,0.17732495652173916
Alaska,09/2018,0.3131113833333333
Alaska,10/2018,0.39782154166666667
Alaska,11/2018,0.4930493394495413
Alaska,12/2018,0.5245372033898305
Arkansas,01/2018,0.30114538709677424
Arkansas,02/2018,0.28384744642857146
Arkansas,03/2018,0.2675608548387097
Arkansas,04/2018,0.29861221666666665
Arkansas,05/2018,0.23256777419354838
Arkansas,06/2018,0.204092
Arkansas,07/2018,0.26695169354838705
Arkansas,08/2018,0.24784943548387092
Arkansas,09/2018,0.24874191666666665
Arkansas,10/2018,0.33292987096774185
Arkansas,11/2018,0.38246075
Arkansas,12/2018,0.36595664516129034
Arizona,01/2018,0.4660419792626728
Arizona,02/2018,0.35785389668367346
Arizona,03/2018,0.29363230787037037
Arizona,04/2018,0.27786078897637795
Arizona,05/2018,0.23327853753753758
Arizona,06/2018,0.2118782234042553
Arizona,07/2018,0.18840293853073464
Arizona,08/2018,0.2142739621451104
Arizona,09/2018,0.2663836426174497
Arizona,10/2018,0.2728862565789474
Arizona,11/2018,0.44962978833333334
Arizona,12/2018,0.5129196197411003
California,01/2018,0.46553288334145154
California,02/2018,0.3978884295284029
California,03/2018,0.3064976235378372
California,04/2018,0.2678243192279139
California,05/2018,0.22014317196394687
California,06/2018,0.22467224723247237
California,07/2018,0.24042256943105111
California,08/2018,0.29619645104977593
California,09/2018,0.2940309658786254
California,10/2018,0.3193117068263473
California,11/2018,0.5168860661691543
California,12/2018,0.43798149038689776
Kansas,01/2018,0.2127147741935484
Kansas,02/2018,0.20864956363636358
Kansas,03/2018,0.18777114516129031
Kansas,04/2018,0.16698346666666666
Kansas,05/2018,0.18988649999999999
Kansas,06/2018,0.19983889999999999
Kansas,07/2018,0.0
Kansas,08/2018,0.25402585714285714
Kansas,09/2018,0.14621344999999997
Kansas,10/2018,0.17106462903225805
Kansas,11/2018,0.20024744999999997
Kansas,12/2018,0.2298339193548387
North Carolina,01/2018,0.336917418699187
North Carolina,02/2018,0.2529292857142857
North Carolina,03/2018,0.24928765322580648
North Carolina,04/2018,0.24695617083333332
North Carolina,05/2018,0.2247946008064516
North Carolina,06/2018,0.2324569291666667
North Carolina,07/2018,0.2290421975308642
North Carolina,08/2018,0.26223305084745757
North Carolina,09/2018,0.25802595336787565
North Carolina,10/2018,0.2852879508196721
North Carolina,11/2018,0.2905315791666666
North Carolina,12/2018,0.34319985887096777
South Carolina,01/2018,0.18415591935483874
South Carolina,02/2018,0.11673067857142858
South Carolina,03/2018,0.13417917741935478
South Carolina,04/2018,0.1267398
South Carolina,05/2018,0.11006238709677417
South Carolina,06/2018,0.11342156666666664
South Carolina,07/2018,0.1190885322580645
South Carolina,08/2018,0.12811526666666664
South Carolina,09/2018,0.09478731666666668
South Carolina,10/2018,0.12781048387096772
South Carolina,11/2018,0.13357389655172414
South Carolina,12/2018,0.15740845161290318
Colorado,01/2018,0.5078755322580645
Colorado,02/2018,0.36355313104838716
Colorado,03/2018,0.286219766848816
Colorado,04/2018,0.24860084572490707
Colorado,05/2018,0.2531603363309352
Colorado,06/2018,0.23303801714285718
Colorado,07/2018,0.23536463440860214
Colorado,08/2018,0.28905539728682167
Colorado,09/2018,0.26831811392405064
Colorado,10/2018,0.30340600373134335
Colorado,11/2018,0.36621584444444444
Colorado,12/2018,0.42094604905660377
Connecticut,01/2018,0.31718210569105687
Connecticut,02/2018,0.3129072285714286
Connecticut,03/2018,0.23643657377049185
Connecticut,04/2018,0.25705618750000003
Connecticut,05/2018,0.2647406532258064
Connecticut,06/2018,0.22798827083333334
Connecticut,07/2018,0.2570586411290322
Connecticut,08/2018,0.28291399596774197
Connecticut,09/2018,0.24559521666666664
Connecticut,10/2018,0.26094252822580644
Connecticut,11/2018,0.2537796375
Connecticut,12/2018,0.3000839879032258
North Dakota,01/2018,0.207021
North Dakota,02/2018,0.19671298214285712
North Dakota,03/2018,0.20555951666666666
North Dakota,04/2018,0.19113974999999997
North Dakota,05/2018,0.17457859677419355
North Dakota,06/2018,0.13404586666666668
North Dakota,07/2018,0.12738349999999998
North Dakota,08/2018,0.20784829032258062
North Dakota,09/2018,0.14274196666666666
North Dakota,10/2018,0.14123604838709677
North Dakota,11/2018,0.15355876923076922
North Dakota,12/2018,0.1781137580645161
South Dakota,01/2018,0.20435587096774188
South Dakota,02/2018,0.20131546428571429
South Dakota,03/2018,0.1979309999999999
South Dakota,04/2018,0.19090843333333332
South Dakota,05/2018,0.18265459677419357
South Dakota,06/2018,0.1575521833333333
South Dakota,07/2018,0.15461664516129037
South Dakota,08/2018,0.22056148387096777
South Dakota,09/2018,0.14497443103448276
South Dakota,10/2018,0.14845151612903223
South Dakota,11/2018,0.16171645000000004
South Dakota,12/2018,0.17875529032258067
Delaware,01/2018,0.29222183870967733
Delaware,02/2018,0.2667827142857143
Delaware,03/2018,0.21870088709677418
Delaware,04/2018,0.21389945
Delaware,05/2018,0.20965391935483874
Delaware,06/2018,0.1794821
Delaware,07/2018,0.18564199999999997
Delaware,08/2018,0.25331162903225807
Delaware,09/2018,0.23376233333333332
Delaware,10/2018,0.24770516129032258
Delaware,11/2018,0.24505026666666668
Delaware,12/2018,0.29784748076923073
Florida,01/2018,0.2910139684210526
Florida,02/2018,0.2887729941434846
Florida,03/2018,0.2729097797468354
Florida,04/2018,0.2605368623595506
Florida,05/2018,0.2643611644640235
Florida,06/2018,0.29058060127591706
Florida,07/2018,0.3014963981481482
Florida,08/2018,0.2839291238938053
Florida,09/2018,0.32154708749999994
Florida,10/2018,0.27845937022900763
Florida,11/2018,0.2851918420168067
Florida,12/2018,0.3076495100671141
Georgia,01/2018,0.4530699919354839
Georgia,02/2018,0.42986767857142855
Georgia,03/2018,0.3894000161290323
Georgia,04/2018,0.4198062416666667
Georgia,05/2018,0.4534467338709677
Georgia,06/2018,0.4349752457627118
Georgia,07/2018,0.4296524274193548
Georgia,08/2018,0.47016410619469023
Georgia,09/2018,0.4566073833333333
Georgia,10/2018,0.4643774435483871
Georgia,11/2018,0.46301737499999995
Georgia,12/2018,0.46962970161290324
Hawaii,01/2018,0.46859426344086025
Hawaii,02/2018,0.4391136794871795
Hawaii,03/2018,0.45998609999999995
Hawaii,04/2018,0.5739174388888889
Hawaii,05/2018,0.6653575923913043
Hawaii,06/2018,0.24986766101694913
Hawaii,07/2018,0.15891541935483872
Hawaii,08/2018,0.22097878571428572
Hawaii,09/2018,0.198961426035503
Hawaii,10/2018,0.2200899502762431
Hawaii,11/2018,0.24788963333333333
Hawaii,12/2018,0.20897469892473117
Idaho,01/2018,0.5845107580645161
Idaho,02/2018,0.5453502767857142
Idaho,03/2018,0.6001654193548387
Idaho,04/2018,0.5712184916666667
Idaho,05/2018,0.20703031451612905
Idaho,06/2018,0.23006215000000002
Idaho,07/2018,0.3471721774193549
Idaho,08/2018,0.5680876120689655
Idaho,09/2018,0.49843742499999993
Idaho,10/2018,0.3301717983870968
Idaho,11/2018,0.38780230833333335
Idaho,12/2018,0.47109692741935477
Rhode Island,01/2018,0.40743725000000003
Rhode Island,02/2018,0.42349156250000003
Rhode Island,03/2018,0.32820995967741945
Rhode Island,04/2018,0.3703410916666667
Rhode Island,05/2018,0.27710662790697677
Rhode Island,06/2018,0.32713654166666667
Rhode Island,07/2018,0.3281958870967742
Rhode Island,08/2018,0.3703922822580645
Rhode Island,09/2018,0.33281169999999993
Rhode Island,10/2018,0.38048968548387097
Rhode Island,11/2018,0.3635091166666667
Rhode Island,12/2018,0.43208811290322585
Illinois,01/2018,0.25265567065868266
Illinois,02/2018,0.2501087142857143
Illinois,03/2018,0.22867750000000003
Illinois,04/2018,0.23702540131578947
Illinois,05/2018,0.22546443820224718
Illinois,06/2018,0.19165870285714284
Illinois,07/2018,0.19713943010752685
Illinois,08/2018,0.2317852285714285
Illinois,09/2018,0.204866012345679
Illinois,10/2018,0.1800072294117647
Illinois,11/2018,0.24101125714285715
Illinois,12/2018,0.31787344545454554
Indiana,01/2018,0.35395775357142856
Indiana,02/2018,0.33635105019305017
Indiana,03/2018,0.34984848813559327
Indiana,04/2018,0.3239553550724638
Indiana,05/2018,0.3447739432624113
Indiana,06/2018,0.4077385090909091
Indiana,07/2018,0.324880835483871
Indiana,08/2018,0.34188097087378644
Indiana,09/2018,0.30974688333333333
Indiana,10/2018,0.3172016209150327
Indiana,11/2018,0.2788248566666667
Indiana,12/2018,0.2802551644295302
Iowa,01/2018,0.22565841530054645
Iowa,02/2018,0.22495926190476187
Iowa,03/2018,0.21617956451612902
Iowa,04/2018,0.20634629213483147
Iowa,05/2018,0.2199439347826087
Iowa,06/2018,0.19418091477272725
Iowa,07/2018,0.1955940597826087
Iowa,08/2018,0.2461114569892473
Iowa,09/2018,0.20994168333333335
Iowa,10/2018,0.19520293258426966
Iowa,11/2018,0.1944364277777778
Iowa,12/2018,0.22809755056179778
Kentucky,01/2018,0.24741679781420764
Kentucky,02/2018,0.2472840773809524
Kentucky,03/2018,0.21987883333333333
Kentucky,04/2018,0.21484912222222224
Kentucky,05/2018,0.23757111827956987
Kentucky,06/2018,0.2176136888888889
Kentucky,07/2018,0.2194284247311828
Kentucky,08/2018,0.25759934065934065
Kentucky,09/2018,0.22391780000000003
Kentucky,10/2018,0.22618763483146065
Kentucky,11/2018,0.23534057777777784
Kentucky,12/2018,0.2309233010752688
Louisiana,01/2018,0.366292075
Louisiana,02/2018,0.39728336607142856
Louisiana,03/2018,0.3759011
Louisiana,04/2018,0.4419379181818182
Louisiana,05/2018,0.40926014516129033
Louisiana,06/2018,0.50257015
Louisiana,07/2018,0.23384651612903226
Louisiana,08/2018,0.2789651048387096
Louisiana,09/2018,0.3703060083333333
Louisiana,10/2018,0.34858266666666665
Louisiana,11/2018,0.32814603333333336
Louisiana,12/2018,0.26152633035714284
Maine,01/2018,0.16371453225806457
Maine,02/2018,0.1807075535714286
Maine,03/2018,0.18587948387096775
Maine,04/2018,0.21328356666666665
Maine,05/2018,0.16301802150537634
Maine,06/2018,0.12878383333333335
Maine,07/2018,0.13480566666666668
Maine,08/2018,0.1718716505376344
Maine,09/2018,0.15228119444444443
Maine,10/2018,0.14538674193548387
Maine,11/2018,0.21722185294117646
Maine,12/2018,0.18502962365591397
Maryland,01/2018,0.2348281762295082
Maryland,02/2018,0.22629235096153846
Maryland,03/2018,0.1918057276995305
Maryland,04/2018,0.17000987053571429
Maryland,05/2018,0.17273878571428575
Maryland,06/2018,0.18255291739130436
Maryland,07/2018,0.18317312903225805
Maryland,08/2018,0.21125765322580645
Maryland,09/2018,0.18284608333333333
Maryland,10/2018,0.1755709016393443
Maryland,11/2018,0.1881530265486726
Maryland,12/2018,0.24255516666666663
Massachusetts,01/2018,0.3112169918032787
Massachusetts,02/2018,0.31159662612612615
Massachusetts,03/2018,0.27640218442622944
Massachusetts,04/2018,0.266845314159292
Massachusetts,05/2018,0.25128213744075834
Massachusetts,06/2018,0.21229891160220993
Massachusetts,07/2018,0.22243605154639176
Massachusetts,08/2018,0.2667061517857143
Massachusetts,09/2018,0.247773234375
Massachusetts,10/2018,0.24362270807453415
Massachusetts,11/2018,0.2471174620253165
Massachusetts,12/2018,0.27599293529411767
Michigan,01/2018,0.4620013003597123
Michigan,02/2018,0.3586567896825397
Michigan,03/2018,0.36997769354838717
Michigan,04/2018,0.36943071851851855
Michigan,05/2018,0.4103717870036101
Michigan,06/2018,0.35922075932835823
Michigan,07/2018,0.31546525045372054
Michigan,08/2018,0.3844473851132686
Michigan,09/2018,0.3543054583333333
Michigan,10/2018,0.34370457565789475
Michigan,11/2018,0.34847248484848486
Michigan,12/2018,0.4046257639553429
Minnesota,01/2018,0.3359621290322581
Minnesota,02/2018,0.36551700518134717
Minnesota,03/2018,0.39858006476683944
Minnesota,04/2018,0.3371143308457712
Minnesota,05/2018,0.36832669791666667
